Uniprot_ID,PDB_ID,nonpol_ID,chem_comp,smiles,inchikey,inchikey_skeleton,inchikey_stereochemistry
P60891,2H06,2H06_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60891,2H07,2H07_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60891,2H08,2H08_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60891,2HCR,2HCR_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60891,3EFH,3EFH_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60891,3S5J,3S5J_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60891,4F8E,4F8E_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q04430,7T1I,7T1I_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P46849,3KGD,3KGD_5,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P46849,3TUT,3TUT_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9UBF8,5C46,5C46_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0AF03,1DI6,1DI6_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0AF03,1DI7,1DI7_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q13572,2Q7D,2Q7D_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q13572,2QB5,2QB5_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q13572,9DN3,9DN3_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q05506,1F7U,1F7U_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P53602,3D4J,3D4J_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WPQ5,3FMI,3FMI_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WPQ5,4WOP,4WOP_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P27144,3NDP,3NDP_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WHV7,1Y3I,1Y3I_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P08178,1CLI,1CLI_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P08178,9JZW,9JZW_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P08178,9JZX,9JZX_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
O23722,6N10,6N10_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P42336,4L1B,4L1B_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P42336,4L23,4L23_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P42336,4L2Y,4L2Y_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q8N884,4O69,4O69_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q12109,3KT3,3KT3_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q12109,3KT6,3KT6_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q12109,3KT8,3KT8_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P41250,2Q5I,2Q5I_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q43295,4FXP,4FXP_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q08211,8SZP,8SZP_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P43250,3NYN,3NYN_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P43250,3NYO,3NYO_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q6WRY5,4FU0,4FU0_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q08224,3RM5,3RM5_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
O02810,5EUQ,5EUQ_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P55264,5KB6,5KB6_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P60546,2ANB,2ANB_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q15126,3CH4,3CH4_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A7B5,2J5T,2J5T_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A7B5,2J5V,2J5V_5,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A7B5,2W21,2W21_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9Y3D8,1RKB,1RKB_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9Y3D8,3IIJ,3IIJ_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9Y3D8,3IIK,3IIK_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9Y3D8,3IIL,3IIL_6,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WMU9,1Y11,1Y11_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P08192,1W78,1W78_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P08192,1W7K,1W7K_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P08536,1G8F,1G8F_6,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
O00443,2IWL,2IWL_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
O00443,6BTZ,6BTZ_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WKE1,1G3U,1G3U_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WKE1,1GSI,1GSI_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WKE1,1GTV,1GTV_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P09029,1B6R,1B6R_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A8L1,6R1O,6R1O_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P12282,1JW9,1JW9_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P12282,1JWB,1JWB_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P07236,3UGQ,3UGQ_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P07236,3UH0,3UH0_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P77150,1TD2,1TD2_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P77150,1VI9,1VI9_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P51570,6GR2,6GR2_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P40136,1K8T,1K8T_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P40136,1K93,1K93_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q8NFU5,6E7F,6E7F_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q29599,1PX5,1PX5_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A7E5,1S1M,1S1M_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A7E5,5TKV,5TKV_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9H479,9CX8,9CX8_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9H479,9CXM,9CXM_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9H479,9CXN,9CXN_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P47075,3G3Q,3G3Q_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P47075,3G3R,3G3R_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P47075,3G3U,3G3U_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P0A6V1,5L6S,5L6S_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P00572,1TMK,1TMK_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P00572,2TMK,2TMK_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q9NYA1,3VZB,3VZB_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
Q8I2M1,1Z6G,1Z6G_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WPX3,3S1T,3S1T_4,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P38137,8AFG,8AFG_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P23381,2AKE,2AKE_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P23381,2AZX,2AZX_3,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
P9WIL5,1MOP,1MOP_2,SO4,[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,QAOWNCQODCNURD,QAOWNCQODCNURD-UHFFFAOYSA
